address,latitude,longitude,name
201 Commerce Dr,38.59259,-92.2254,SONIC Drive In
3124 S Ten Mile Dr,38.58068,-92.2352,McDonald's
1417 Jackson Ave W,34.36729,-89.54978,Coop DeVille
2984 Upland Pkwy,41.138,-102.98557,McDonalds
1002 J St,40.39457,-95.83913,Amigos/Kings Classic
191 7th St,40.725253,-73.634393,B. Good
544 Conestoga Pkwy,37.9978,-85.70737,Domino's Pizza
101 Smith Rd,37.0082,-85.92208,McDonald's
5212 Jackson St,31.27267,-92.48395,Sonic Drive-In
131 S Highway 27,37.09224,-84.61883,McDonald's
1511 C Goff Blvd S W Plaza Rio Shpg Ctr,35.085335,-106.60555,Domino's Pizza
4800 Frederica St,37.723743,-87.123894,McDonald's
300 W Esplanade Ave,30.02306,-90.26933,Burger King
5963 W Main St,29.63346,-90.75858,Sonic Drive-In
7849 Tramway Blvd NE Ste D,35.17351,-106.49703,Domino's Pizza
400 Clifty Dr,38.77544,-85.39367,Rally's
1228 Saint Charles St,29.58875,-90.74346,Taco Bell
725 Sterlington Hwy,32.7715,-92.39699,Taco Bell
1088 Westbank Expy,29.89708,-90.14081,Pizza Hut
1000 Government St,30.44345,-91.17915,Sonic Drive-In
314 E Carpenter St,33.75489,-90.71678,Back Yard Burgers
120 S Davis Ave,33.74364,-90.71593,McDonald's
1231 Holcomb Blvd,34.72418,-77.34444,Wendy's
112 E 2nd St,46.78937,-92.09841,Domino's Pizza
976 William H Wilson Ave Ste 100,31.8613,-81.61078,Burger King
2910 Lurleen B Wallace Blvd,33.236442,-87.576869,Sonic Drive-In
2441 James St,41.68432,-91.60353,Domino's Pizza
602 Highway 31 SW,34.439438,-86.940455,Taco Bell
107 Jordan Plz,36.29457,-76.23925,Domino's Pizza
905 W Corbett Ave,34.69765,-77.14086,McDonalds
2001 Sutton Ln,38.70084,-80.664158,Arby's
161 Church St,44.47568,-73.21264,Pacific Rim
3716 7th St,28.9826,-95.94636,Taco Bell
443 Killian Rd,34.13885,-80.95378,Panda Express
122 Hayward Ave,42.02193,-93.65164,Domino's Pizza
1306 Scotland Crossing Dr,34.760626,-79.487148,Taco Bell
1700 Norman Dr Spc 1056,30.84377,-83.32041,Chick-fil-A
502 W Columbia Ave,33.903931,-81.545787,Hardee's
4965 Centre Pointe Dr,32.87129,-80.02056,Domino's Pizza
2441 Northgate St,41.04905,-92.41165,McDonald's
903 E Milam St,31.68468,-96.47389,McDonald's
5131 Government St,30.44529,-91.13715,Captain D's
4021 Interstate Highway 69 Access Rd,27.85699,-97.63067,Whataburger
839 E Mulberry St,29.165887,-95.422475,Jack in the Box
3900 University Pkwy,31.75324,-93.10647,Sonic Drive-In
1855 Main Ave N,45.486681,-123.845556,McDonald's
400 Downs Blvd Ste 100,35.90875,-86.88409,Domino's Pizza
808 E Liberty St,39.16989,-91.87478,SONIC Drive In
701 E Main St,37.84401,-90.50351,SONIC Drive In
3039 W Peoria Ave,33.581838,-112.124385,Samurai Sam's
324 W Bypass,31.30789,-86.4999,Arby's
1411 Q St,40.814503,-96.700905,Amigos/Kings Classic
525 W Crawford St,39.37906,-97.14248,SONIC Drive In
5802 S Broadway Ave,32.28572,-95.30372,McDonald's
3112 N Navarro St,28.82378,-97.000727,McDonald's
2 N Mineral St,39.44023,-78.97744,Subway
1845 Fry Rd,29.79332,-95.71956,McDonald's
100 W Loop 340,31.51211,-97.18724,Whataburger
104 E Grant St,26.40269,-99.01235,McDonald's
441 Craig St,31.45096,-96.07826,McDonalds
2111 Ave F NW US 287,34.43504,-100.22784,McDonald's
1005 S 14th St,27.50749,-97.85649,Taco Bell
4622 S Fort Hood St,31.07809,-97.75698,McDonald's
404 N Wood St,32.73227,-94.94278,Taco Bell
7104 S Fry Rd,29.71927,-95.78177,McDonald's
1265 S Wheeler St,30.91192,-93.99569,McDonald's
307 E Wise St,33.557809,-97.846268,McDonald's
705 N McCoy Blvd,33.4717,-94.4091,Taco Bell
821 S Sam Houston Blvd,26.12559,-97.63723,McDonald's
2652 S Nc 127 Hwy,35.69172,-81.35675,Domino's Pizza
1696 N Center St,34.79816,-91.89096,SONIC Drive In
651 Terry Pkwy Ste 101,29.90228,-90.03,Domino's Pizza
1449 Papillion Dr,41.141563,-96.01308,Domino's Pizza
323 N 114th St,41.2606,-96.09081,Domino's Pizza
102 Pavilion Pkwy,39.09245,-84.4806,Domino's Pizza
998 Nc Highway 150 W A,36.20043,-79.84375,Domino's Pizza
1518 N Ed Carey Dr,26.17221,-97.67362,Taco Bell
1501 7th St,35.60569,-105.22363,McDonald's
1130 Burlington St,40.42485,-99.3797,Sonic Drive-In
1630 S Broadway,48.21665,-101.29666,Taco Bell
801 Dakota Ave,46.26365,-96.61158,Taco John's
223 N Josephine Ave,44.006216,-97.118242,Taco John's
327 S Canal St,32.41713,-104.2292,McDonalds
2005 E Madison Ave,32.77873,-91.8896,McDonald's
2000 N Date St,33.15244,-107.24684,Sonic Drive-In
320 NW 2nd St,44.007172,-97.115957,McDonald's
681 W Bridge St,44.084414,-93.241752,Taco Bell
2121 E Grand Ave,41.30959,-105.56668,Taco Bell
1401 Mill St,44.66263,-103.85504,Taco John's
1650 E Bert Kouns Industrial Loop,32.4316,-93.71381,Whataburger
600 N Grand Ave,35.9196,-94.96673,Northeastern State University
507 MacArthur Dr,31.29621,-92.478,McDonald's
245 High St,44.5325,-68.408,Taco Bell
259 High St,44.53099,-68.40688,McDonald's
6001 San Mateo Blvd Ne Ste G1,35.14515,-106.58797,Pizza Hut
304 Keyser Ave,31.75412,-93.08107,McDonald's
192 Water St,44.22938,-69.77157,Domino's Pizza
1306 S Thompson St,36.17034,-94.13983,SONIC Drive In
1310 E Main St,35.25441,-95.10962,McDonald's
1510 S Mississippi Ave,34.3717,-96.13563,Taco Bell
207 N Broadway St,35.47132,-95.52156,Subway
4105 Main St,44.04537,-122.96621,Domino's Pizza
499 Canal St,42.83924,-72.56684,Domino's Pizza
105 Blake Dr,35.96083,-95.39476,SONIC Drive In
5704 Jackson St,31.26788,-92.48741,Subway
603 E Main St,42.09591,-76.05453,McDonald's
1052 Sagamore Pkwy W,40.45384,-86.91841,Jimmy John's
363 Swanton Rd,44.8396,-73.08202,Taco Bell
580 Shelburne Rd Ste 11,44.44926,-73.20896,SUBWAY
2201 S Park Ave Ste 5,40.24008,-85.66922,Pizza Hut
25 Berlin St,44.25664,-72.57701,Domino's Pizza
313 2nd St,36.16562,-81.13658,Wendy's
127 North St,46.13483,-67.83927,Domino's Pizza
1215 2nd Ave W,48.1566,-103.6262,Taco John's
7201 Two Notch Rd,34.064617,-80.95748,Sarku Japan
875 4th St SW,43.14776,-93.21414,Taco Bell
320 11th Street Sw Plz,43.12617,-95.15025,Taco Bell
120 E Jefferson St,41.29768,-91.69085,Taco Bell
6694 Highway 431 S,34.657839,-86.483357,Taco Bell
2721a Emanuel Church Rd,33.93912,-81.150724,Pizza Hut
837 W Morton Ave,39.723201,-90.240464,Taco Bell
2013 US Route 20,42.9037,-76.8312,Burger King
2211 W Dekalb St,34.24907,-80.64598,Chick-fil-A
1400 S Higley Blvd,41.77618,-107.22593,Subway
3 Spaulding Ave,44.84987,-74.28485,Domino's Pizza
80 Clinton Plz,40.14714,-88.97722,Taco Bell
776 E Main St,42.67962,-74.47452,Taco Bell
1134 Paterson St,44.690205,-75.4774,McDonald's
201 Maple City Dr,40.9107,-90.64483,Taco Bell
31305 Vine St,41.642781,-81.468481,Burger King
2118 Missouri Blvd,38.58174,-92.20713,Captain D's
1212 W Main St,38.37957,-88.37697,McDonald's
2333 Missouri Blvd,38.58134,-92.21398,Jack in the Box
550 E Industrial Park Rd,37.78839,-89.32524,McDonald's
220 S Main St,31.02181,-87.49386,Burger King
1607 S State Route 127,38.87866,-89.39077,Taco Bell
51-67 E 161st St,40.828053,-73.92529,McDonald's
253 W 42nd St,40.757015,-73.98944,Five Guys
4461 Market Commons Dr,38.858362,-77.376969,Pei Wei
14493 Gideon Dr,38.637623,-77.297706,Wendy's
2815 Fern Valley Rd,38.1575,-85.7112,Arby's
2800 Outer Loop,38.13627,-85.71168,McDonald's
6501 Paramount Park Dr,38.156731,-85.712124,Taco Bell
713 McCroskey St,37.053586,-93.302767,Arby's
3409 W Blue Ridge Dr,34.852468,-82.451033,Taco Bell
6103 White Horse Rd,34.853023,-82.452875,McDonald's
2219 Madison Street,36.5098,-87.2763,SONIC Drive In
788 Riverside Drive,36.5401,-87.3663,Taco Bell
400 Lovell Rd,35.90428,-84.14246,Wendy's
13433 Leopard St,27.856211,-97.629141,Burger King
208 E Highway 90,30.046579,-94.886769,Jack in the Box
3305 S Campbell Ave Ste E,37.15422,-93.29613,Jimmy John's
1173 Murfreesboro Rd,36.1217,-86.7054,McDonald's
2203 E Hubbard St,32.8095,-98.0953,Taco Bell
2901 Houston Hwy,28.8117,-96.9739,Wendy's
6201 W Colonial Drive,28.552592,-81.464927,Krystal
3596 MT Diablo Blvd,37.891487,-122.12335,Baja Fresh
31707 LA Highway 16,30.528322,-90.956294,Mcdonald's
903 S Springfield Ave,37.60553,-93.40686,McDonald's
1875 S Springfield Ave,37.596828,-93.403066,Taco Bell
1905 Southwest Blvd,38.55503,-92.19907,Taco Bell
2605 Missouri Blvd,38.581753,-92.219515,Taco Bell
3407 Missouri Blvd,38.58141,-92.24298,Chick-fil-A
1911 S Springfield Ave,37.596372,-93.402919,Burger King
5160 Southport Supply Road,33.9516,-78.0426,Bojangles' Famous Chicken 'n Biscuits
421 N 36th St,39.93634,-91.35881,Burger King
501 S 8th St,36.32953,-94.12543,Arby's
2000 S Pleasant St,36.167387,-94.143617,Wendy's
311 N Gaskill St,36.08869,-93.74247,SUBWAY
401 S Thompson St,36.1825,-94.138655,Hardee's
1260 E Robinson Ave,36.16732,-94.11799,McDonald's
1300 S Thompson St,36.17076,-94.13973,Burger King
1407 Main St,40.40352,-91.39082,McDonald's
1421 Avenue H,40.63043,-91.32385,Taco Bell
1029 S Range Line Rd,37.079654,-94.477436,Taco Bell
